"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,708,000,000",""
"SURVEY","2020","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","8,945,000,000",""
"SURVEY","2020","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,534,200,000",""
"SURVEY","2020","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,085,300,000",""
"SURVEY","2020","MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,099,300,000",""
"SURVEY","2020","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","8,805,200,000",""
"SURVEY","2020","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,269,700,000",""
"SURVEY","2020","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,297,600,000",""
"SURVEY","2020","SEP","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,030,600,000",""
"SURVEY","2020","OCT","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,501,700,000",""
"SURVEY","2020","NOV","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,327,000,000",""
"SURVEY","2020","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","EGGS","EGGS - PRODUCTION, MEASURED IN EGGS","TOTAL","NOT SPECIFIED","9,596,000,000",""
