"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","6,240,300,000",""
"SURVEY","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","7,429,000,000",""
"SURVEY","2019","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,935,400,000",""
"SURVEY","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","357,900,000",""
"SURVEY","2019","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","8,297,800,000",""
"SURVEY","2019","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,914,900,000",""
"SURVEY","2019","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,832,700,000",""
"SURVEY","2019","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","389,800,000",""
"SURVEY","2019","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","4,844,700,000",""
"SURVEY","2019","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,454,500,000",""
"SURVEY","2019","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","7,420,400,000",""
"SURVEY","2019","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","570,400,000",""
"SURVEY","2019","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,500,200,000",""
"SURVEY","2019","YEAR","","STATE","OTHER STATES","","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,450,900,000",""
"SURVEY","2019","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,126,700,000",""
"SURVEY","2019","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,837,500,000",""
"SURVEY","2019","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","941,800,000",""
"SURVEY","2019","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","4,455,000,000",""
"SURVEY","2019","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,744,100,000",""
"SURVEY","2019","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","286,900,000",""
"SURVEY","2019","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","228,200,000",""
