"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,958,000",""
"SURVEY","2019","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","982,000",""
"SURVEY","2019","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","67,654,000",""
"SURVEY","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","65,205,000",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","39,830,000",""
"SURVEY","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","293,229,000",""
"SURVEY","2019","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,384,000",""
"SURVEY","2019","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","9,869,000",""
"SURVEY","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,729,000",""
"SURVEY","2019","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","57,982,000",""
"SURVEY","2019","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,044,000",""
"SURVEY","2019","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","28,333,000",""
"SURVEY","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","2,196,434,000",""
"SURVEY","2019","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","2,235,725,000",""
"SURVEY","2019","YEAR","","STATE","IOWA","19","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","14,455,917,000",""
"SURVEY","2019","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,048,275,000",""
"SURVEY","2019","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","194,995,000",""
"SURVEY","2019","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","919,000",""
"SURVEY","2019","YEAR","","STATE","MAINE","23","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,436,000",""
"SURVEY","2019","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","9,917,000",""
"SURVEY","2019","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,236,000",""
"SURVEY","2019","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","635,011,000",""
"SURVEY","2019","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","4,777,656,000",""
"SURVEY","2019","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","61,289,000",""
"SURVEY","2019","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,656,302,000",""
"SURVEY","2019","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","120,614,000",""
"SURVEY","2019","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,509,174,000",""
"SURVEY","2019","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","648,000",""
"SURVEY","2019","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,656,000",""
"SURVEY","2019","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,027,000",""
"SURVEY","2019","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","957,000",""
"SURVEY","2019","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,432,000",""
"SURVEY","2019","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","4,361,099,000",""
"SURVEY","2019","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","44,904,000",""
"SURVEY","2019","YEAR","","STATE","OHIO","39","","","","","","","00000000","","HOGS","HOGS - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,331,230,000",""
