"Item","Sub-Sector","Area","Super Region","Sector","Element","Unit","Source","Super Region","Value","Date Value","Period Value"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1336.870","2050-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1292.780","2030-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1245.740","2018-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1234.370","2017-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1229.670","2016-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1229.210","2015-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1222.620","2014-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1218.260","2013-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1219.980","2012-12-31","a"
"CATTLE, DAIRY","EMISSIONS AGRICULTURE MANURE MANAGEMENT","UNITED STATES OF AMERICA","GLOBAL DATA","ENVIRONMENT, NATURAL RESOURCES","DIRECT EMISSIONS (CO2EQ) (MANURE MANAGEMENT)","GIGAGRAMS","UN FOOD AND AGRICULTURE ORGANIZATION","GLOBAL DATA","1214.960","2011-12-31","a"
